Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
George Kirby,SEA,29,29,168,12,8,,0,0,162,65,19,151,27,8.09,1.45,5.59,1.02,0.246,1.13,0.293,73.30%,3.48,3.52,34
Dylan Cease,CHW,30,30,166,9,8,,0,0,144,72,19,196,71,10.63,3.85,2.76,1.03,0.227,1.3,0.298,72.70%,3.9,3.79,105.9
Zach Eflin,TBR,26,27,146.2,12,7,,0,0,136,55,16,143,24,8.77,1.47,5.96,0.98,0.239,1.09,0.293,73.40%,3.37,3.3,81.5
Walker Buehler,LAD,25,25,154.1,10,6,,0,0,134,61,19,150,37,8.75,2.16,4.05,1.11,0.231,1.11,0.28,72.70%,3.56,3.73,138.5
Framber Valdez,HOU,29,29,185.2,14,8,,0,0,162,69,16,168,63,8.14,3.05,2.67,0.78,0.23,1.21,0.281,74.00%,3.34,3.76,58.2
Logan Gilbert,SEA,31,31,182.1,11,8,,0,0,167,71,21,168,48,8.29,2.37,3.5,1.04,0.238,1.18,0.285,74.40%,3.51,3.78,63.4
Triston McKenzie,CLE,25,26,155,10,8,,0,0,137,61,20,153,40,8.88,2.32,3.83,1.16,0.233,1.14,0.283,74.50%,3.54,3.81,235.8
Blake Snell,,29,29,160.1,13,8,,0,0,125,60,18,204,79,11.45,4.44,2.58,1.01,0.21,1.27,0.286,77.70%,3.37,3.7,65.9
Shane Bieber,CLE,24,25,148.1,8,6,,0,0,137,58,17,151,37,9.16,2.25,4.08,1.03,0.239,1.17,0.296,73.90%,3.52,3.54,174.5
Kodai Senga,NYM,28,28,161,11,8,,0,0,132,65,18,190,76,10.62,4.25,2.5,1.01,0.219,1.29,0.289,75.50%,3.63,3.86,69.2
Shota Imanaga,CHC,25,25,137,8,5,,0,0,125,54,15,146,40,9.59,2.63,3.65,0.99,0.237,1.2,0.3,74.30%,3.55,3.55,999
Julio Urías,LAD,26,27,146,13,8,,0,0,129,60,19,139,31,8.57,1.91,4.48,1.17,0.234,1.1,0.28,71.20%,3.7,3.8,718.1
Brandon Woodruff,,22,22,119.2,8,4,,0,0,97,42,14,132,31,9.92,2.33,4.26,1.05,0.218,1.07,0.279,76.60%,3.16,3.47,999
Jordan Montgomery,,29,29,168.2,10,8,,0,0,163,72,22,160,52,8.54,2.77,3.08,1.17,0.248,1.27,0.297,74.40%,3.84,4.05,147.7
Max Fried,ATL,23,23,129.1,11,5,,0,0,119,47,11,118,35,8.21,2.44,3.37,0.77,0.24,1.19,0.295,74.30%,3.27,3.44,62.7
Zac Gallen,ARI,31,31,186.1,13,9,,0,0,165,74,23,175,55,8.45,2.66,3.18,1.11,0.234,1.18,0.281,74.50%,3.57,3.98,39.7
Freddy Peralta,MIL,28,29,151.2,10,9,,0,0,122,65,20,173,56,10.26,3.32,3.09,1.19,0.218,1.17,0.279,72.00%,3.86,3.95,54.1
Chris Bassitt,TOR,28,28,171.1,12,9,,0,0,160,73,21,149,45,7.83,2.36,3.31,1.1,0.244,1.2,0.285,71.80%,3.84,4.11,136.8
Bobby Miller,LAD,26,26,137.1,11,6,,0,0,119,57,14,128,40,8.39,2.62,3.2,0.92,0.229,1.16,0.279,69.60%,3.74,3.74,999
Shane McClanahan,TBR,24,24,135,11,5,,0,0,112,47,15,147,39,9.8,2.6,3.77,1,0.221,1.12,0.282,76.90%,3.13,3.43,999
Shohei Ohtani,LAD,24,24,139.1,11,5,,0,0,109,51,18,157,45,10.14,2.91,3.49,1.16,0.214,1.11,0.272,76.90%,3.3,3.82,12.9
Mitch Keller,PIT,29,29,166.1,9,10,,0,0,162,76,19,158,54,8.55,2.92,2.93,1.03,0.249,1.3,0.302,70.70%,4.11,4.01,170.1
Jesús Luzardo,MIA,27,28,153,8,9,,0,0,136,66,20,173,53,10.18,3.12,3.26,1.18,0.233,1.24,0.297,73.30%,3.88,3.85,81.7
Justin Steele,CHC,27,29,153.1,10,8,,0,0,147,62,17,139,45,8.16,2.64,3.09,1,0.247,1.25,0.297,74.30%,3.64,3.9,101.9
Brandon Pfaadt,ARI,27,27,147.1,9,9,,0,0,142,65,19,143,36,8.74,2.2,3.97,1.16,0.247,1.21,0.297,71.30%,3.97,3.87,208.3
Andrew Abbott,CIN,29,29,143,8,9,,0,0,132,70,22,156,54,9.82,3.4,2.89,1.38,0.24,1.3,0.295,70.90%,4.41,4.29,276.6
Eury Pérez,MIA,27,27,124,7,7,,0,0,106,50,15,137,41,9.94,2.98,3.34,1.09,0.228,1.19,0.291,73.80%,3.63,3.71,78.9
Joe Ryan,MIN,27,27,150.1,10,10,,0,0,133,67,20,156,40,9.34,2.4,3.9,1.2,0.234,1.15,0.288,69.70%,4.01,3.89,85.3
Lucas Giolito,BOS,29,29,161.2,10,10,,0,0,157,81,24,173,59,9.63,3.28,2.93,1.34,0.249,1.34,0.306,70.20%,4.51,4.23,219.9
Eduardo Rodriguez,ARI,25,25,138,11,8,,0,0,135,56,16,135,43,8.8,2.8,3.14,1.04,0.25,1.29,0.305,75.20%,3.65,3.81,194.7
Yu Darvish,SDP,24,24,145.1,10,9,,0,0,128,64,19,140,38,8.67,2.35,3.68,1.18,0.233,1.14,0.279,69.60%,3.96,4,195.3
Alex Cobb,SFG,26,26,136,7,6,,0,0,144,58,11,121,45,8.01,2.98,2.69,0.73,0.263,1.39,0.32,72.60%,3.84,3.61,467.1
Joe Musgrove,SDP,24,24,141.1,10,5,,0,0,127,53,16,133,34,8.47,2.17,3.91,1.02,0.236,1.14,0.285,75.00%,3.38,3.82,97.9
José Berríos,TOR,30,30,170.1,11,9,,0,0,164,78,24,161,46,8.51,2.43,3.5,1.27,0.247,1.23,0.292,71.40%,4.12,4.18,169.3
Max Scherzer,TEX,24,24,135.2,9,7,,0,0,121,58,22,149,36,9.88,2.39,4.14,1.46,0.235,1.16,0.289,74.50%,3.85,4.12,309.1
Tarik Skubal,DET,21,21,103.2,6,6,,0,0,92,42,11,108,26,9.37,2.26,4.15,0.95,0.233,1.14,0.293,71.20%,3.65,3.39,50.1
Carlos Rodón,NYY,22,22,114.1,9,7,,0,0,94,49,15,132,35,10.39,2.76,3.77,1.18,0.22,1.13,0.281,70.40%,3.86,3.7,148.9
